    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
14     14    70000.0  74999.0  [15735.204000000003]     [0.43668115844746475]      [0.3318630437043535]   [0.029781316582914445]  4295.0
15     15    75000.0  79999.0  [15738.000000000004]     [0.27949176006358245]     [0.33310991875501184]   [0.029313829145728606]  4295.0
16     16    80000.0  84999.0  [15746.871200000003]       [0.436135273723514]      [0.3263876773501522]   [0.031940924623115444]  4295.0
17     17    85000.0  89999.0          [17695.2548]      [0.3468835341644819]       [0.382055970786971]    [0.03511973869346706]  4295.0
18     18    90000.0  94999.0          [17000.2856]     [0.34153453070306594]     [0.36000712566227805]   [0.031076351758793818]  4295.0
19     19    95000.0  99999.0  [11539.000000000002]    [0.031630943134615716]     [0.08980746966056918]    [0.01908623115577892]  4295.0
0       0        0.0   4999.0             [16314.0]       [1.839358208270458]      [1.6697503301724044]    [0.04623642211055245]  4300.0
1       1     5000.0   9999.0          [16336.2744]      [1.5864748767168508]      [1.5563388806544407]    [0.04169177889447211]  4300.0
2       2    10000.0  14999.0  [16065.000000000004]      [1.3560330429353056]      [1.2454009552471825]    [0.03809726633165802]  4300.0
3       3    15000.0  19999.0  [15945.114400000002]       [1.310568795000306]       [1.334897669172636]    [0.03862759798994954]  4300.0
4       4    20000.0  24999.0          [15502.3572]      [1.3355716020997372]       [1.694365239233653]    [0.03754192964824124]  4300.0
5       5    25000.0  29999.0  [15494.000000000004]      [1.9263205742338367]      [1.7174221226800293]    [0.04415204020100517]  4300.0
6       6    30000.0  34999.0             [15494.0]      [1.4326342861087076]      [1.7174221226800266]   [0.036180592964824246]  4300.0
7       7    35000.0  39999.0  [15494.000000000004]      [1.6473006098722835]      [1.7174221226800273]    [0.04129460301507551]  4300.0
8       8    40000.0  44999.0             [15494.0]      [1.8021563688040043]      [1.7174221226800295]    [0.04282119597989963]  4300.0
9       9    45000.0  49999.0          [15530.4146]       [1.708411838907214]      [1.7083658272367297]   [0.041865386934673475]  4300.0
10     10    50000.0  54999.0             [15631.0]      [1.4829822281230733]      [1.6835695333842773]   [0.038310613065326724]  4300.0
11     11    55000.0  59999.0          [15637.9838]      [1.3099942261251345]      [1.6241344291269246]   [0.036996120603015215]  4300.0
12     12    60000.0  64999.0           [15720.663]      [0.7725260726992744]      [0.7526317044855529]    [0.03370023115577902]  4300.0
13     13    65000.0  69999.0  [15747.763199999998]      [0.8750732391253601]      [0.7552616990473495]    [0.03495576884422128]  4300.0
14     14    70000.0  74999.0  [15786.203999999998]      [0.7703498987105569]      [0.7540796677670486]    [0.03359752763819108]  4300.0
15     15    75000.0  79999.0  [15788.999999999996]      [0.6270837720356269]      [0.7581759730551779]    [0.03259370854271374]  4300.0
16     16    80000.0  84999.0  [15796.847599999997]      [0.9524254438072042]      [0.7537448513235795]    [0.03548422110552787]  4300.0
17     17    85000.0  89999.0  [17743.254799999995]      [0.8670160429808662]      [0.9255790491916281]   [0.040931939698492764]  4300.0
18     18    90000.0  94999.0  [17048.285599999996]      [0.7669027480512641]      [0.8666497805474154]    [0.03542197989949768]  4300.0
19     19    95000.0  99999.0  [11586.999999999996]     [0.04480968401734173]      [0.1508109148542751]   [0.019474572864321665]  4300.0
0       0        0.0   4999.0             [15690.0]      [1.8995632506861768]      [1.6138020059764189]    [0.04446282412060268]  4395.0
1       1     5000.0   9999.0  [15935.406400000003]      [1.6575559532274344]       [1.664847605405134]   [0.041484653266331745]  4395.0
2       2    10000.0  14999.0  [15896.000000000004]       [1.310218233497221]      [1.2616345346194022]    [0.03843323618090465]  4395.0
3       3    15000.0  19999.0  [15769.182200000003]      [1.4478182541918374]      [1.3913353572057672]    [0.03866474371859311]  4395.0
4       4    20000.0  24999.0          [15346.3576]      [1.7965409679900486]       [1.875297440341838]    [0.03901306532663315]  4395.0
5       5    25000.0  29999.0  [15342.327400000004]      [1.9071530677480386]        [1.87349825402577]   [0.044961768844221005]  4395.0
6       6    30000.0  34999.0  [15316.000000000004]      [1.7290466470350705]      [1.8699837517975837]   [0.037024703517587874]  4395.0
7       7    35000.0  39999.0  [15316.000000000004]      [2.0620753609574534]      [1.8699837517975828]   [0.041358633165829044]  4395.0
8       8    40000.0  44999.0  [15316.000000000004]      [1.9597009213871235]      [1.8699837517975846]    [0.04405580904522598]  4395.0
9       9    45000.0  49999.0  [15267.092800000002]      [1.9966273878461058]      [1.8640029569466128]   [0.042662974874371686]  4395.0
10     10    50000.0  54999.0  [15132.000000000004]      [1.5271272852425546]      [1.8472817610795813]   [0.038219346733668225]  4395.0
11     11    55000.0  59999.0          [15138.0786]      [1.5968011630713979]      [1.6963382343045565]    [0.03694979899497484]  4395.0
12     12    60000.0  64999.0  [15231.000000000004]    [-0.38256280136500365]     [-0.5960838646702468]    [0.02274262311557798]  4395.0
13     13    65000.0  69999.0  [15231.000000000004]     [-0.5946139132472364]     [-0.5960838646702408]   [0.021624512562814103]  4395.0
14     14    70000.0  74999.0  [15231.000000000004]     [-0.6873224870229302]     [-0.5960838646702389]   [0.021718241206030206]  4395.0
15     15    75000.0  79999.0  [15231.000000000004]    [-0.47043174092982304]      [-0.596083864670238]   [0.021891909547738782]  4395.0
16     16    80000.0  84999.0  [15231.000000000004]    [-0.48674811465158013]     [-0.5960838646702384]    [0.02300586934673371]  4395.0
17     17    85000.0  89999.0          [17162.2548]     [-0.7680274095296842]     [-0.7280709099963448]    [0.02344084422110557]  4395.0
18     18    90000.0  94999.0          [16468.4988]     [-0.6537642958404652]     [-0.6830516428062308]   [0.021897587939698558]  4395.0
19     19    95000.0  99999.0  [11024.000000000002]     [-0.2269626678918947]     [-0.1285591081367821]   [0.016771698492462364]  4395.0
0       0        0.0   4999.0           [15836.298]      [1.7892338621796864]       [1.599550040574913]    [0.04435036180904502]  4400.0
1       1     5000.0   9999.0  [16079.406400000003]        [1.63505021458692]       [1.562369350369133]    [0.04057547738693477]  4400.0
2       2    10000.0  14999.0  [16040.000000000004]      [0.8857370330604583]      [0.9010910797719232]     [0.0352637286432162]  4400.0
3       3    15000.0  19999.0  [15920.114400000002]       [1.077172568135752]      [1.0802136634426456]    [0.03640960804020105]  4400.0
4       4    20000.0  24999.0  [15486.000000000004]      [1.5827226711089961]      [1.7520331921231587]    [0.03831231155778886]  4400.0
5       5    25000.0  29999.0  [15479.327400000004]      [1.8500367164765108]      [1.7417619854482633]    [0.04440717587939685]  4400.0
6       6    30000.0  34999.0             [15453.0]      [1.5936907890558598]      [1.7011493849470636]     [0.0357569145728643]  4400.0
7       7    35000.0  39999.0  [15453.000000000004]      [1.8321601474523876]      [1.7011493849470662]    [0.04030368844221099]  4400.0
8       8    40000.0  44999.0  [15453.000000000004]      [1.8718949830741847]       [1.701149384947068]    [0.04303983919597983]  4400.0
9       9    45000.0  49999.0  [15404.092800000002]       [1.784633806661143]      [1.6911144817458716]    [0.04166783919597987]  4400.0
10     10    50000.0  54999.0  [15269.000000000004]      [1.3322253526856664]      [1.6630617731568214]    [0.03688936683417085]  4400.0
11     11    55000.0  59999.0          [15275.0786]      [1.3313184032212753]      [1.5230754939932707]    [0.03592071356783923]  4400.0
12     12    60000.0  64999.0  [15367.097000000003]      [-0.384204853172085]     [-0.6033446905961337]    [0.02287949748743733]  4400.0
13     13    65000.0  69999.0  [15367.000000000004]     [-0.6028979398227163]     [-0.6033752978579864]   [0.021750160804020223]  4400.0
14     14    70000.0  74999.0  [15367.000000000004]     [-0.7094805790886418]     [-0.6033752978579809]   [0.021767336683417227]  4400.0
15     15    75000.0  79999.0  [15367.000000000004]     [-0.5042369430686194]     [-0.6033752978579814]    [0.02193860301507549]  4400.0
16     16    80000.0  84999.0  [15367.000000000004]      [-0.533327620571367]     [-0.6033752978579809]   [0.023096914572864485]  4400.0
17     17    85000.0  89999.0          [17298.2548]     [-0.7151253407350032]     [-0.6947010866473121]   [0.023973226130653457]  4400.0
18     18    90000.0  94999.0          [16604.4988]      [-0.648292346318564]      [-0.662847421461689]   [0.022243869346733815]  4400.0
19     19    95000.0  99999.0  [11160.000000000002]    [-0.29625728324505085]     [-0.2707294831870437]   [0.016289035175879416]  4400.0
0       0        0.0   4999.0             [15552.0]      [1.2361597673178688]      [1.0437009467813834]    [0.03851053266331634]  4495.0
1       1     5000.0   9999.0           [15790.437]      [1.1133240292897435]      [1.1463420233813368]    [0.03538875376884404]  4495.0
2       2    10000.0  14999.0  [15746.999999999996]   [-0.025568978604542082]     [0.09876692764944074]   [0.027465869346733722]  4495.0
3       3    15000.0  19999.0  [15627.114399999997]       [0.319090424732747]      [0.2882464539483754]    [0.02874790954773872]  4495.0
4       4    20000.0  24999.0  [15192.999999999996]      [0.7831801445224499]      [0.9993842311393851]    [0.03209837185929637]  4495.0
5       5    25000.0  29999.0  [15191.180199999997]      [1.1460738413897338]      [0.9938483132141454]    [0.03727045226130647]  4495.0
6       6    30000.0  34999.0  [15183.999999999996]      [0.7477941562552318]      [0.9719928575175877]   [0.030053577889447326]  4495.0
7       7    35000.0  39999.0  [15183.999999999996]       [1.000898325974585]      [0.9719928575175989]    [0.03389027135678402]  4495.0
8       8    40000.0  44999.0  [15178.738799999997]      [1.0451589359886206]      [0.9743864422871172]    [0.03595797989949758]  4495.0
9       9    45000.0  49999.0  [15166.278799999996]      [1.1480860128382497]      [0.9855373307027754]    [0.03562672361809052]  4495.0
10     10    50000.0  54999.0  [15165.959399999998]      [0.8630497187076717]      [1.0023107249961944]   [0.031057035175879464]  4495.0
11     11    55000.0  59999.0  [15195.078599999997]      [0.8874974628055532]      [1.0029933601571515]   [0.032328060301507644]  4495.0
12     12    60000.0  64999.0  [15287.999999999996]      [0.9719882226354912]       [1.120440468092843]   [0.034676462311557826]  4495.0
13     13    65000.0  69999.0  [15287.999999999996]       [1.339226684589648]      [1.1204404680928384]    [0.03704244221105539]  4495.0
14     14    70000.0  74999.0  [15287.999999999996]      [1.2306612408671769]      [1.1204404680928393]    [0.03540762814070362]  4495.0
15     15    75000.0  79999.0  [15287.999999999996]      [0.9022006928591869]      [1.1204404680928384]    [0.03462133668341718]  4495.0
16     16    80000.0  84999.0  [15287.999999999996]      [1.0840156101828335]      [1.1204404680928541]   [0.037058633165829295]  4495.0
17     17    85000.0  89999.0          [17219.2548]      [1.6982514524120034]      [1.5048947698654178]   [0.046348562814070585]  4495.0
18     18    90000.0  94999.0  [16524.285599999996]      [1.3517276030653458]       [1.379680611057735]    [0.03810967839195989]  4495.0
19     19    95000.0  99999.0  [11062.999999999998]    [-0.17181695849841633]    [-0.16674049965307516]    [0.01685623115577893]  4495.0
0       0        0.0   4999.0             [14943.0]      [1.3767858140124858]      [1.3203711677135024]    [0.03958082412060292]  4500.0
1       1     5000.0   9999.0          [15182.0024]      [1.2264476221922496]      [1.3177819597163656]    [0.03546800000000008]  4500.0
2       2    10000.0  14999.0  [15138.999999999996]     [0.31251993916381415]      [0.4019663470389796]     [0.0287318291457288]  4500.0
3       3    15000.0  19999.0          [15019.1144]      [0.5839019680530183]      [0.6180694435601284]    [0.03021765829145735]  4500.0
4       4    20000.0  24999.0             [14585.0]      [1.1407135573870453]      [1.4303179385146831]    [0.03363207035175882]  4500.0
5       5    25000.0  29999.0          [14583.1802]      [1.6070633295671182]       [1.426357258567879]   [0.039475005025125645]  4500.0
6       6    30000.0  34999.0  [14575.999999999996]       [1.296941454175868]      [1.4107203569391773]    [0.03159439195979904]  4500.0
7       7    35000.0  39999.0  [14575.999999999996]       [1.569002670235171]      [1.4107203569391695]   [0.035977859296482395]  4500.0
8       8    40000.0  44999.0          [14570.7388]       [1.515276561585663]      [1.4136614971934367]    [0.03787385929648245]  4500.0
9       9    45000.0  49999.0  [14586.985200000003]      [1.5854368552013611]      [1.4246284691596875]    [0.03787732663316575]  4500.0
10     10    50000.0  54999.0  [14656.000000000005]      [1.2344955273441378]      [1.4413070575171418]    [0.03299176884422107]  4500.0
11     11    55000.0  59999.0  [14662.078600000003]       [1.226665618799705]      [1.4424986296457523]   [0.034060834170854225]  4500.0
12     12    60000.0  64999.0  [14755.000000000004]      [1.2943028770051561]      [1.4605915535961045]    [0.03572366834170854]  4500.0
13     13    65000.0  69999.0  [14755.000000000004]      [1.7190380933023883]      [1.4605915535960998]    [0.03861840201005016]  4500.0
14     14    70000.0  74999.0  [14755.000000000004]      [1.5576364815750177]      [1.4605915535961056]   [0.036800422110552726]  4500.0
15     15    75000.0  79999.0  [14755.000000000004]      [1.1637810784553966]      [1.4605915535961065]   [0.036078944723618056]  4500.0
16     16    80000.0  84999.0  [14755.000000000004]      [1.4545550905944349]      [1.4605915535961151]    [0.03842441206030143]  4500.0
17     17    85000.0  89999.0  [16686.254800000002]      [2.1037167487336106]      [1.8790805424765353]    [0.04842818090452227]  4500.0
18     18    90000.0  94999.0          [15988.6648]      [1.6360745466891915]       [1.743527041896303]   [0.039763688442210975]  4500.0
19     19    95000.0  99999.0             [10526.0]    [0.050350527129810946]      [0.0333732407040049]   [0.017328944723618147]  4500.0
0       0        0.0   4999.0             [15077.0]      [1.0343476182149693]      [0.8776908382056292]    [0.03631617085427145]  4595.0
1       1     5000.0   9999.0  [15297.079200000004]      [1.0675492603736492]      [1.1288396124071527]   [0.034516462311557715]  4595.0
2       2    10000.0  14999.0  [15176.032000000003]     [0.35453391960327674]     [0.29305611827948275]   [0.028771597989949764]  4595.0
3       3    15000.0  19999.0  [15037.114400000002]     [0.43367128907379665]     [0.42212036486592125]    [0.02867547738693472]  4595.0
4       4    20000.0  24999.0  [14603.000000000004]      [0.8071332439765655]      [0.9882162700415743]   [0.030418482412060417]  4595.0
5       5    25000.0  29999.0  [14603.000000000004]       [1.082223773024231]      [0.9882162700415665]    [0.03527090452261314]  4595.0
6       6    30000.0  34999.0  [14603.000000000004]      [0.9088591148605696]      [0.9882162700415326]   [0.029312170854271506]  4595.0
7       7    35000.0  39999.0  [14603.000000000004]      [0.9632345228539697]      [0.9882162700415098]   [0.032792160804020205]  4595.0
8       8    40000.0  44999.0  [14603.000000000004]      [1.1763492593938338]      [0.9882162700415094]    [0.03478943718592972]  4595.0
9       9    45000.0  49999.0  [14578.614000000007]      [1.0600235449719742]      [0.9934405072501327]    [0.03436540703517597]  4595.0
10     10    50000.0  54999.0          [13900.6488]      [1.0229817513785149]      [1.2206061943458262]   [0.029809839195980042]  4595.0
11     11    55000.0  59999.0          [13898.0786]       [1.129578505818622]      [1.2018703785456495]     [0.0304220603015077]  4595.0
12     12    60000.0  64999.0  [13991.000000000004]      [0.7875532166065131]      [0.8513956114891752]    [0.02980464321608047]  4595.0
13     13    65000.0  69999.0  [13991.000000000004]      [0.9463985905096918]      [0.8513956114891844]   [0.032043859296482506]  4595.0
14     14    70000.0  74999.0  [13991.000000000004]      [0.9110076742233973]        [0.85139561148919]    [0.03011299497487446]  4595.0
15     15    75000.0  79999.0  [13991.000000000004]       [0.864197279843266]      [0.8513956114891894]   [0.029900753768844344]  4595.0
16     16    80000.0  84999.0  [13991.000000000004]      [0.7797481610481969]       [0.851395611489194]   [0.031859527638191075]  4595.0
17     17    85000.0  89999.0   [15922.25480000001]      [1.3591513337341479]      [1.1376330614417645]    [0.03967069346733686]  4595.0
18     18    90000.0  94999.0  [16609.090400000012]      [0.7301615697341228]      [0.7337876978933717]   [0.032966753768844156]  4595.0
19     19    95000.0  99999.0  [12832.249600000014]     [-0.7011698574899027]      [-0.768590177718478]   [0.016051035175879413]  4595.0
0       0        0.0   4999.0             [15244.0]      [0.9391426189502892]      [0.7450992617277865]    [0.03563481407035184]  4600.0
1       1     5000.0   9999.0  [15464.079200000004]      [0.9671409501674793]      [1.0350043198309256]    [0.03406131658291465]  4600.0
2       2    10000.0  14999.0  [15343.032000000003]      [0.1582252030875636]     [0.07500703828392126]    [0.02708275376884427]  4600.0
3       3    15000.0  19999.0          [15204.1144]      [0.1836822208757557]     [0.16693862600057505]   [0.026855216080402068]  4600.0
4       4    20000.0  24999.0             [14770.0]      [0.5840982071154253]      [0.6998853655998757]   [0.028892582914572914]  4600.0
5       5    25000.0  29999.0  [14770.000000000004]      [0.8275362634852026]      [0.6998853655998766]    [0.03318132663316587]  4600.0
6       6    30000.0  34999.0  [14770.000000000004]       [0.625839149498838]      [0.6998853655998731]   [0.027421829145728698]  4600.0
7       7    35000.0  39999.0  [14770.000000000004]      [0.6554758438962741]      [0.6998853655998694]   [0.030991567839196005]  4600.0
8       8    40000.0  44999.0             [14770.0]       [0.806071500349005]      [0.6998853655998704]    [0.03287760804020108]  4600.0
9       9    45000.0  49999.0  [14749.168000000003]      [0.6818339795660133]      [0.7056054539728233]    [0.03215083417085432]  4600.0
10     10    50000.0  54999.0  [14088.000000000004]      [0.8459609580837719]      [0.9478698699827102]    [0.02843539698492468]  4600.0
11     11    55000.0  59999.0  [14116.600200000003]      [0.8945893901280838]      [0.9442846884934138]   [0.029210713567839247]  4600.0
12     12    60000.0  64999.0  [14210.000000000005]      [0.9602690472423656]       [0.997993201735519]   [0.031046653266331634]  4600.0
13     13    65000.0  69999.0  [14210.000000000013]      [1.1797402732127227]      [0.9979932017355071]    [0.03365455276381907]  4600.0
14     14    70000.0  74999.0  [14210.000000000015]       [1.052473040425698]      [0.9979932017354989]    [0.03182256281407034]  4600.0
15     15    75000.0  79999.0  [14208.397200000018]      [1.0487003926479814]      [0.9984839515269119]    [0.03129843216080404]  4600.0
16     16    80000.0  84999.0   [14208.00000000003]      [1.0614623577108497]      [0.9986055844542919]    [0.03342724623115576]  4600.0
17     17    85000.0  89999.0  [15995.434000000027]       [1.548263047872232]      [1.3898332112364489]    [0.04261887437185912]  4600.0
18     18    90000.0  94999.0  [16620.871800000034]       [0.949581420667695]      [1.0078904729278209]    [0.03497549748743717]  4600.0
19     19    95000.0  99999.0   [12878.24960000004]      [-0.586741773867904]     [-0.6532720611023485]   [0.016894241206030162]  4600.0
0       0        0.0   4999.0             [14685.0]      [1.5588814342503663]      [1.3773794643678554]    [0.04104864321608049]  4695.0
1       1     5000.0   9999.0  [14905.079200000004]       [1.221160450244996]      [1.1466671999306357]    [0.03537888442211043]  4695.0
2       2    10000.0  14999.0  [14784.032000000003]      [0.9545032733820182]      [0.8097452684877704]    [0.03241495477386925]  4695.0
3       3    15000.0  19999.0  [14645.114400000002]      [0.7390542823145728]      [0.7797506658438894]   [0.030572944723618083]  4695.0
4       4    20000.0  24999.0             [14211.0]      [1.3019262510101461]      [1.5804964778764055]    [0.03439913567839197]  4695.0
5       5    25000.0  29999.0  [14211.000000000004]      [1.7678093375869504]      [1.5804964778763964]    [0.03963196984924623]  4695.0
6       6    30000.0  34999.0  [14211.000000000004]      [1.5505617816247608]      [1.5804964778763984]   [0.032514603015075395]  4695.0
7       7    35000.0  39999.0  [14211.000000000004]      [1.6016160401646298]      [1.5804964778764043]    [0.03683404020100501]  4695.0
8       8    40000.0  44999.0             [14211.0]      [1.6813396552100304]      [1.5804964778764055]    [0.03889262311557787]  4695.0
9       9    45000.0  49999.0  [14211.000000000004]      [1.6281414539510153]      [1.5804964778764032]   [0.037446381909547764]  4695.0
10     10    50000.0  54999.0  [14211.000000000004]      [1.3444980839245615]      [1.5804964778763972]   [0.033277216080402024]  4695.0
11     11    55000.0  59999.0  [14223.933000000003]      [1.2379894726599083]      [1.5424566838624858]    [0.03264101507537697]  4695.0
12     12    60000.0  64999.0  [14284.139200000003]      [0.4198797647288868]     [0.40799748868868385]   [0.026989728643216297]  4695.0
13     13    65000.0  69999.0  [14261.000000000005]      [0.5502857801246209]      [0.4157199601210532]    [0.02979096482412083]  4695.0
14     14    70000.0  74999.0  [14261.000000000005]      [0.3946907122498996]      [0.4157199601210532]   [0.027719668341708744]  4695.0
15     15    75000.0  79999.0  [14261.000000000005]     [0.31116355762697606]      [0.4157199601210527]   [0.026667708542713813]  4695.0
16     16    80000.0  84999.0  [14300.696000000005]      [0.3947751682570873]     [0.40582482322668706]   [0.028751949748743982]  4695.0
17     17    85000.0  89999.0   [16342.72580000001]      [0.7343561791698189]      [0.6548900886275906]   [0.035675859296482454]  4695.0
18     18    90000.0  94999.0  [17054.090400000012]      [0.4535126288399263]      [0.5723648204696493]    [0.03151042211055272]  4695.0
19     19    95000.0  99999.0  [13277.249600000012]     [-0.3007240738951945]    [-0.31565039095252095]    [0.01963095477386942]  4695.0
0       0        0.0   4999.0             [14398.0]       [1.558493587629471]      [1.2431078649397924]    [0.03892617085427151]  4700.0
1       1     5000.0   9999.0  [14618.079200000004]       [1.126336967869053]       [1.085367447681725]   [0.034071969849246146]  4700.0
2       2    10000.0  14999.0           [14497.032]      [0.8987007893219515]      [0.8528495139351024]   [0.032111738693467416]  4700.0
3       3    15000.0  19999.0          [14358.1144]      [0.8905427850675031]      [0.8736081208341903]    [0.03065843216080411]  4700.0
4       4    20000.0  24999.0          [13922.2388]      [1.4878614328917454]      [1.6877471178586971]    [0.03452253266331671]  4700.0
5       5    25000.0  29999.0             [13907.0]      [1.7435908559264106]      [1.6666605023369927]   [0.039439386934673554]  4700.0
6       6    30000.0  34999.0             [13907.0]       [1.582862666824749]      [1.6666605023369825]   [0.032633658291457444]  4700.0
7       7    35000.0  39999.0             [13907.0]      [1.6359335905887813]      [1.6666605023369663]   [0.036583748743718766]  4700.0
8       8    40000.0  44999.0             [13907.0]      [1.8703393432175437]      [1.6666605023369652]   [0.038996361809045366]  4700.0
9       9    45000.0  49999.0             [13907.0]      [1.8440466629402508]      [1.6666605023369623]    [0.03729784924623136]  4700.0
10     10    50000.0  54999.0             [13907.0]       [1.367788504823195]       [1.666660502336953]    [0.03325342713567856]  4700.0
11     11    55000.0  59999.0           [13919.933]      [1.3315302742511235]      [1.5965715659712068]     [0.0325096180904525]  4700.0
12     12    60000.0  64999.0  [14013.000000000004]      [0.4257886665183005]     [0.32406401679771435]   [0.025916090452261467]  4700.0
13     13    65000.0  69999.0  [14013.000000000004]      [0.4383420054681796]     [0.32406401679771285]   [0.028557507537688657]  4700.0
14     14    70000.0  74999.0  [14013.000000000004]     [0.18081177670107582]     [0.32406401679771385]     [0.0263291457286434]  4700.0
15     15    75000.0  79999.0  [14013.000000000004]      [0.3147356817438613]     [0.32406401679771285]    [0.02594739698492483]  4700.0
16     16    80000.0  84999.0  [14052.696000000004]     [0.36175981251562683]      [0.3146564609226602]   [0.027428954773869536]  4700.0
17     17    85000.0  89999.0  [16094.725800000004]      [0.6716540149723322]      [0.5758037980188058]    [0.03445198994974877]  4700.0
18     18    90000.0  94999.0  [16806.090400000005]      [0.4474921730619846]      [0.5563446779757668]    [0.03076100502512561]  4700.0
19     19    95000.0  99999.0  [13029.249600000006]     [-0.2165076487003536]    [-0.20469795529375945]   [0.020166934673366922]  4700.0
0       0        0.0   4999.0             [13690.0]       [1.788306755553142]      [1.4462440643314496]    [0.03815585929648224]  4795.0
1       1     5000.0   9999.0           [13932.792]      [1.6977375595904058]      [1.6586818651607207]    [0.03699791959798982]  4795.0
2       2    10000.0  14999.0  [13818.031999999997]       [1.773510207400896]       [1.742011023178524]    [0.03677777889447254]  4795.0
3       3    15000.0  19999.0  [13679.114399999995]      [1.4452913993204413]      [1.6100048905624547]    [0.03485044221105536]  4795.0
4       4    20000.0  24999.0  [13244.999999999995]      [1.0492486925801299]      [1.1535368530457244]   [0.028686864321608125]  4795.0
5       5    25000.0  29999.0  [13244.999999999998]       [1.293655740125237]       [1.153536853045725]   [0.033525788944723696]  4795.0
6       6    30000.0  34999.0  [13244.999999999998]      [1.0867772756357112]      [1.1535368530457433]   [0.028302592964824208]  4795.0
7       7    35000.0  39999.0  [13244.999999999998]      [1.1476377865612448]      [1.1535368530457557]    [0.03137893467336692]  4795.0
8       8    40000.0  44999.0  [13244.999999999998]      [1.1130946475082508]      [1.1535368530457577]    [0.03236617085427144]  4795.0
9       9    45000.0  49999.0  [13244.999999999996]      [1.3346049979843866]      [1.1535368530457601]    [0.03205061306532671]  4795.0
10     10    50000.0  54999.0  [13244.999999999996]      [0.9761453271142058]       [1.153536853045764]   [0.028726723618090495]  4795.0
11     11    55000.0  59999.0  [13158.054599999998]      [0.7785359790618028]      [1.0943657293537317]   [0.027498381909547755]  4795.0
12     12    60000.0  64999.0  [13248.999999999996]     [-0.1974374430987448]     [-0.1704652430575787]   [0.020647035175879486]  4795.0
13     13    65000.0  69999.0  [13260.937599999997]     [0.03245523936530063]    [-0.17712888289837847]   [0.023734482412060394]  4795.0
14     14    70000.0  74999.0  [13260.999999999998]    [-0.30237444487371623]     [-0.1771636834323954]   [0.021256030150753835]  4795.0
15     15    75000.0  79999.0  [13260.999999999996]     [-0.1574713241554156]    [-0.17716368343239597]    [0.02143902512562823]  4795.0
16     16    80000.0  84999.0  [13260.999999999998]    [-0.17968348164465767]    [-0.17716368343239702]   [0.022408904522613154]  4795.0
17     17    85000.0  89999.0  [15262.725799999997]     [0.39146822241430956]      [0.2845298301984527]   [0.029756311557788972]  4795.0
18     18    90000.0  94999.0  [15974.090399999997]     [0.23725567320854557]      [0.2556008757751108]   [0.027388060301507675]  4795.0
19     19    95000.0  99999.0  [12197.249599999994]    [-0.49957467999225663]     [-0.4697429344987084]   [0.017224914572864403]  4795.0
0       0        0.0   4999.0             [14649.0]       [1.130060917861781]      [0.9487421397127029]   [0.036398532663316475]  4800.0
1       1     5000.0   9999.0  [14891.792000000003]      [1.3644903716771408]      [1.2854161609202477]    [0.03657006030150766]  4800.0
2       2    10000.0  14999.0  [14777.032000000003]      [1.4602182105900936]      [1.4139377944160025]   [0.036889507537688444]  4800.0
3       3    15000.0  19999.0  [14638.114400000002]      [1.3162192915848347]      [1.3643338610298261]    [0.03517866331658296]  4800.0
4       4    20000.0  24999.0  [14204.000000000004]      [0.9240032156043225]      [1.0094886269745265]   [0.029857628140703734]  4800.0
5       5    25000.0  29999.0  [14204.000000000004]      [1.1920236796100618]      [1.0094886269745276]   [0.034633989949748964]  4800.0
6       6    30000.0  34999.0  [14204.000000000004]       [1.105888984293479]      [1.0094886269745396]    [0.02957073366834191]  4800.0
7       7    35000.0  39999.0  [14204.000000000004]      [0.8761185080504987]      [1.0094886269745469]    [0.03249806030150777]  4800.0
8       8    40000.0  44999.0  [14204.000000000004]      [0.9868595987690558]      [1.0094886269745469]    [0.03373301507537713]  4800.0
9       9    45000.0  49999.0  [14204.000000000004]      [1.1314957287476022]        [1.00948862697455]    [0.03333109547738714]  4800.0
10     10    50000.0  54999.0  [14204.000000000004]      [0.8088127659056906]      [1.0094886269745613]    [0.02979269346733687]  4800.0
11     11    55000.0  59999.0  [14102.441400000003]      [0.7479089078346459]      [0.9039595450053066]   [0.028545145728643393]  4800.0
12     12    60000.0  64999.0  [13969.906800000002]    [-0.13605125292604958]    [0.005075719847800428]   [0.022796311557789006]  4800.0
13     13    65000.0  69999.0  [13979.937600000003]       [0.172031336532671]   [-0.019466254020984917]   [0.026296944723618144]  4800.0
14     14    70000.0  74999.0  [13980.000000000004]    [-0.17930915510836695]    [-0.01959673855387703]   [0.023473175879397012]  4800.0
15     15    75000.0  79999.0  [13980.000000000004]     [0.09224017163155146]   [-0.019596738553878043]    [0.02403140703517594]  4800.0
16     16    80000.0  84999.0  [13980.000000000004]     [0.00732742693493731]   [-0.019596738553878043]   [0.024677125628140766]  4800.0
17     17    85000.0  89999.0  [15887.517199999995]      [0.5961163562418393]      [0.4884713245466591]    [0.03309738693467363]  4800.0
18     18    90000.0  94999.0  [16539.217399999987]      [0.4706222069188304]       [0.567311334742661]   [0.030292040201005142]  4800.0
19     19    95000.0  99999.0  [12712.249599999992]     [-0.2108124725672879]    [-0.21445342406854687]   [0.019982422110552792]  4800.0
0       0        0.0   4999.0             [13966.0]      [1.7801314976735014]      [1.4557341778091104]    [0.03930764824120579]  4895.0
