    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
11     11    55000.0  59999.0   [9365.000000000002]     [-0.8045492768963781]     [-0.9923834359032673]   [0.012268422110552697]   195.0
12     12    60000.0  64999.0   [9372.766400000002]     [-0.9403693260061577]     [-0.9079177184418104]   [0.010922090452261274]   195.0
13     13    65000.0  69999.0   [9388.000000000002]     [-0.8435121558582441]     [-0.7586584928630978]   [0.012018954773869288]   195.0
14     14    70000.0  74999.0   [9388.000000000002]     [-0.5317798211211167]     [-0.7586584928631156]    [0.01337779899497482]   195.0
15     15    75000.0  79999.0   [9388.000000000002]     [-0.8733196883378637]     [-0.7586584928631465]   [0.011519175879396937]   195.0
16     16    80000.0  84999.0   [9391.890000000001]      [-0.635022252070631]     [-0.7506186229666365]   [0.012341015075376835]   195.0
17     17    85000.0  89999.0   [9393.000000000002]     [-0.7043034223005755]     [-0.7483256910634204]   [0.012301165829145679]   195.0
18     18    90000.0  94999.0   [9393.000000000002]     [-0.7334362063422074]     [-0.7483256910634438]    [0.01218414070351755]   195.0
19     19    95000.0  99999.0   [9393.000000000004]     [-0.8472466573990726]     [-0.7483256910634558]   [0.011346381909547695]   195.0
0       0        0.0   4999.0           [10373.295]     [-0.7177197701412996]     [-0.6363421750967858]   [0.013109658291457257]   200.0
1       1     5000.0   9999.0  [10256.449200000001]     [-0.8039063434138217]     [-0.6770709527367591]   [0.012655608040200973]   200.0
2       2    10000.0  14999.0  [10189.000000000002]     [-0.7240298393131777]     [-0.7010021501423626]   [0.013314321608040174]   200.0
3       3    15000.0  19999.0            [10184.12]     [-0.7557161753424149]       [-0.69998404499359]   [0.014084010050251236]   200.0
4       4    20000.0  24999.0  [10169.000000000002]       [-0.78628096167241]     [-0.6968233839926202]    [0.01390851256281405]   200.0
5       5    25000.0  29999.0             [10169.0]     [-0.5404802163215577]     [-0.6968233839926172]   [0.014553979899497489]   200.0
6       6    30000.0  34999.0  [10169.000000000002]     [-0.6856075440997956]     [-0.6968233839926171]   [0.013735085427135666]   200.0
7       7    35000.0  39999.0  [10169.000000000002]     [-0.5168903270886935]     [-0.6968233839926175]   [0.014625497487437201]   200.0
8       8    40000.0  44999.0  [10169.000000000002]     [-0.7680122739326856]      [-0.696823383992615]   [0.012792763819095446]   200.0
9       9    45000.0  49999.0  [10050.807200000001]     [-0.7179943086613425]     [-0.7160978114589301]    [0.01451258291457284]   200.0
10     10    50000.0  54999.0   [9685.000000000002]     [-0.6467468587359452]     [-0.7787334248420723]   [0.013919517587939682]   200.0
