       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
102   500.0      2   100000.0  149999.0        1  1072907        2.742269          2.738712   2.726037
103   500.0      3   150000.0  199999.0        0  1092642        3.225329          3.220345   3.004751
104   500.0      4   200000.0  249999.0        1  1126873        3.439278          3.435069   3.119941
105   500.0      5   250000.0  299999.0        1  1142987        2.964223          2.968279   2.890952
106   500.0      6   300000.0  349999.0        1  1113675        2.765944          2.764449   2.743339
107   500.0      7   350000.0  399999.0        1  1092479        3.160355          3.161679   2.853566
108   500.0      8   400000.0  449999.0        1  1126673        3.459845          3.461535   3.292371
109   500.0      9   450000.0  499999.0        1  1132642        3.252107          3.253674   3.378864
110   500.0     10   500000.0  549999.0        1  1134868        3.003779          3.001541   3.066369
111   500.0     11   550000.0  599999.0        1  1119058        3.050877          3.048284   2.973376
112   500.0     12   600000.0  649999.0        1  1098326        2.795147          2.796915   2.793290
113   500.0     13   650000.0  699999.0        1  1134528        3.250207          3.250707   3.327513
114   500.0     14   700000.0  749999.0        1  1131376        2.563241          2.557365   2.980720
115   500.0     15   750000.0  799999.0        1  1136202        3.054659          3.056215   3.097477
116   500.0     16   800000.0  849999.0        1  1112850        3.098667          3.100104   2.852844
117   500.0     17   850000.0  899999.0        1  1128502        3.134140          3.131737   2.849339
118   500.0     18   900000.0  949999.0        1  1112028        2.644643          2.637116   2.960625
119   500.0     19   950000.0  999999.0        0  1057973        3.299640          3.293123   3.102235
120   600.0      0        0.0   49999.0        3  1120448        3.055708          3.048766   2.850474
121   600.0      1    50000.0   99999.0        1  1114003        2.953532          2.946137   2.718018
122   600.0      2   100000.0  149999.0        1  1072907        2.640880          2.634602   2.678307
123   600.0      3   150000.0  199999.0        0  1092642        3.223489          3.216474   3.002815
124   600.0      4   200000.0  249999.0        1  1126873        3.364737          3.359001   3.084760
125   600.0      5   250000.0  299999.0        1  1142987        2.757944          2.761444   2.795077
126   600.0      6   300000.0  349999.0        1  1113675        2.906025          2.906300   2.844095
127   600.0      7   350000.0  399999.0        1  1092479        2.965583          2.966746   2.806554
128   600.0      8   400000.0  449999.0        1  1126673        3.338942          3.340091   3.232430
129   600.0      9   450000.0  499999.0        1  1132642        3.350616          3.351666   3.429424
130   600.0     10   500000.0  549999.0        1  1134868        3.091237          3.088073   3.108617
131   600.0     11   550000.0  599999.0        1  1119058        3.239436          3.236267   3.061821
132   600.0     12   600000.0  649999.0        1  1098326        2.560953          2.559500   2.684760
133   600.0     13   650000.0  699999.0        1  1134528        3.139791          3.140622   3.298497
134   600.0     14   700000.0  749999.0        1  1131376        2.779611          2.775990   3.092079
135   600.0     15   750000.0  799999.0        1  1136202        2.819722          2.820088   3.017079
136   600.0     16   800000.0  849999.0        1  1112850        2.455125          2.454895   2.764747
137   600.0     17   850000.0  899999.0        1  1128502        2.394018          2.390962   2.841009
138   600.0     18   900000.0  949999.0        1  1112028        2.498811          2.489875   2.922708
139   600.0     19   950000.0  999999.0        0  1057973        3.101858          3.094411   3.107872
140   700.0      0        0.0   49999.0        3  1120448        3.521318          3.519698   2.721311
141   700.0      1    50000.0   99999.0        1  1114003        3.524063          3.522028   2.597877
142   700.0      2   100000.0  149999.0        1  1072907        3.259269          3.253751   2.594298
143   700.0      3   150000.0  199999.0        0  1092642        3.724135          3.718177   2.947631
144   700.0      4   200000.0  249999.0        1  1126873        3.531532          3.527107   3.162548
145   700.0      5   250000.0  299999.0        1  1142987        2.802822          2.806298   2.815287
146   700.0      6   300000.0  349999.0        1  1113675        2.197143          2.199643   2.867853
147   700.0      7   350000.0  399999.0        1  1092479        2.632937          2.637006   2.881345
148   700.0      8   400000.0  449999.0        1  1126673        3.163758          3.165495   3.144962
149   700.0      9   450000.0  499999.0        1  1132642        3.191805          3.192984   3.345463
150   700.0     10   500000.0  549999.0        1  1134868        3.018842          3.017828   3.071949
151   700.0     11   550000.0  599999.0        1  1119058        2.944234          2.944089   2.921526
152   700.0     12   600000.0  649999.0        1  1098326        2.661038          2.659515   2.729935
153   700.0     13   650000.0  699999.0        1  1134528        3.140092          3.139958   3.297384
154   700.0     14   700000.0  749999.0        1  1131376        2.702993          2.698134   3.052465
155   700.0     15   750000.0  799999.0        1  1136202        3.259075          3.257852   3.249807
156   700.0     16   800000.0  849999.0        1  1112850        2.591841          2.592472   2.831024
157   700.0     17   850000.0  899999.0        1  1128502        2.299546          2.297590   2.844430
158   700.0     18   900000.0  949999.0        1  1112028        2.573217          2.564910   2.961082
159   700.0     19   950000.0  999999.0        0  1057973        3.060289          3.051166   3.087382
160   800.0      0        0.0   49999.0        3  1120448        2.883484          2.876811   2.804503
161   800.0      1    50000.0   99999.0        1  1114003        2.637343          2.629835   2.586095
162   800.0      2   100000.0  149999.0        1  1072907        2.128124          2.116486   2.563407
163   800.0      3   150000.0  199999.0        0  1092642        2.967964          2.963793   2.883125
164   800.0      4   200000.0  249999.0        1  1126873        3.482964          3.478531   3.138041
165   800.0      5   250000.0  299999.0        1  1142987        2.840398          2.842148   2.831456
166   800.0      6   300000.0  349999.0        1  1113675        2.665450          2.671429   3.153677
167   800.0      7   350000.0  399999.0        1  1092479        2.356920          2.361141   2.745819
168   800.0      8   400000.0  449999.0        1  1126673        3.143399          3.144763   3.175520
169   800.0      9   450000.0  499999.0        1  1132642        3.073429          3.072756   3.283492
170   800.0     10   500000.0  549999.0        1  1134868        3.022245          3.021621   3.073607
171   800.0     11   550000.0  599999.0        1  1119058        3.152169          3.151054   3.019777
172   800.0     12   600000.0  649999.0        1  1098326        2.976292          2.976434   2.876398
173   800.0     13   650000.0  699999.0        1  1134528        3.408762          3.407664   3.437582
174   800.0     14   700000.0  749999.0        1  1131376        2.725177          2.719133   3.128125
175   800.0     15   750000.0  799999.0        1  1136202        2.940769          2.938096   3.195927
176   800.0     16   800000.0  849999.0        1  1112850        2.725964          2.727553   2.896601
177   800.0     17   850000.0  899999.0        1  1128502        2.450141          2.446559   2.943710
178   800.0     18   900000.0  949999.0        1  1112028        2.565634          2.557319   2.927239
179   800.0     19   950000.0  999999.0        0  1057973        3.009537          3.002066   3.061673
180   900.0      0        0.0   49999.0        3  1120448        2.241033          2.234338   2.886312
181   900.0      1    50000.0   99999.0        1  1114003        2.410673          2.405649   2.784184
182   900.0      2   100000.0  149999.0        1  1072907        2.415114          2.404885   2.728651
183   900.0      3   150000.0  199999.0        0  1092642        3.446466          3.442739   3.106648
184   900.0      4   200000.0  249999.0        1  1126873        3.605030          3.600296   3.194095
185   900.0      5   250000.0  299999.0        1  1142987        2.816924          2.820009   2.896912
186   900.0      6   300000.0  349999.0        1  1113675        2.353669          2.360855   3.025077
187   900.0      7   350000.0  399999.0        1  1092479        2.392909          2.397075   2.762783
188   900.0      8   400000.0  449999.0        1  1126673        3.310194          3.310199   3.257309
189   900.0      9   450000.0  499999.0        1  1132642        3.278869          3.279056   3.388921
190   900.0     10   500000.0  549999.0        1  1134868        3.084890          3.085812   3.102878
191   900.0     11   550000.0  599999.0        1  1119058        3.011596          3.009837   2.952056
192   900.0     12   600000.0  649999.0        1  1098326        2.992464          2.994241   2.882916
193   900.0     13   650000.0  699999.0        1  1134528        3.180927          3.182849   3.318104
194   900.0     14   700000.0  749999.0        1  1131376        2.892287          2.889145   3.214806
195   900.0     15   750000.0  799999.0        1  1136202        2.824304          2.821373   3.260802
196   900.0     16   800000.0  849999.0        1  1112850        2.669736          2.673560   2.942059
197   900.0     17   850000.0  899999.0        1  1128502        2.253201          2.251231   2.842629
198   900.0     18   900000.0  949999.0        1  1112028        2.630465          2.624538   2.990708
199   900.0     19   950000.0  999999.0        0  1057973        3.034035          3.027887   3.073268
200  1000.0      0        0.0   49999.0        3  1120448        2.334006          2.323560   2.812571
201  1000.0      1    50000.0   99999.0        1  1114003        2.916838          2.908224   2.762537
202  1000.0      2   100000.0  149999.0        1  1072907        2.557436          2.544985   2.792618
203  1000.0      3   150000.0  199999.0        0  1092642        3.429932          3.425671   3.097909
204  1000.0      4   200000.0  249999.0        1  1126873        3.623550          3.618425   3.202886
205  1000.0      5   250000.0  299999.0        1  1142987        2.822712          2.826331   2.936791
206  1000.0      6   300000.0  349999.0        1  1113675        2.396120          2.400882   3.047074
207  1000.0      7   350000.0  399999.0        1  1092479        2.309793          2.314467   2.729755
208  1000.0      8   400000.0  449999.0        1  1126673        3.345014          3.345791   3.276782
209  1000.0      9   450000.0  499999.0        1  1132642        3.249366          3.248094   3.374713
210  1000.0     10   500000.0  549999.0        1  1134868        2.978820          2.978723   3.052377
211  1000.0     11   550000.0  599999.0        1  1119058        3.153216          3.152021   3.021731
212  1000.0     12   600000.0  649999.0        1  1098326        3.152689          3.156003   2.957187
213  1000.0     13   650000.0  699999.0        1  1134528        3.123709          3.125548   3.288008
214  1000.0     14   700000.0  749999.0        1  1131376        2.819434          2.817083   3.175721
215  1000.0     15   750000.0  799999.0        1  1136202        3.056014          3.052994   3.299611
216  1000.0     16   800000.0  849999.0        1  1112850        2.468710          2.469888   2.914145
217  1000.0     17   850000.0  899999.0        1  1128502        2.299496          2.294094   3.004351
218  1000.0     18   900000.0  949999.0        1  1112028        2.882620          2.874702   3.126426
219  1000.0     19   950000.0  999999.0        0  1057973        3.175013          3.168510   3.143814
220  1100.0      0        0.0   49999.0        3  1120448        2.114414          2.106617   2.850659
221  1100.0      1    50000.0   99999.0        1  1114003        2.319973          2.314888   2.740361
222  1100.0      2   100000.0  149999.0        1  1072907        2.568351          2.560164   2.803659
223  1100.0      3   150000.0  199999.0        0  1092642        3.381375          3.375936   3.076909
224  1100.0      4   200000.0  249999.0        1  1126873        3.580580          3.574766   3.183884
225  1100.0      5   250000.0  299999.0        1  1142987        3.124414          3.129037   3.083130
226  1100.0      6   300000.0  349999.0        1  1113675        2.754857          2.759007   3.241655
227  1100.0      7   350000.0  399999.0        1  1092479        2.703955          2.703449   2.985617
228  1100.0      8   400000.0  449999.0        1  1126673        3.186702          3.186078   3.283429
229  1100.0      9   450000.0  499999.0        1  1132642        3.270057          3.271938   3.385822
230  1100.0     10   500000.0  549999.0        1  1134868        3.238746          3.236270   3.179749
231  1100.0     11   550000.0  599999.0        1  1119058        3.184887          3.181219   3.036453
232  1100.0     12   600000.0  649999.0        1  1098326        2.839508          2.841313   2.827851
233  1100.0     13   650000.0  699999.0        1  1134528        2.753619          2.753588   3.288089
234  1100.0     14   700000.0  749999.0        1  1131376        2.660811          2.657769   3.124160
235  1100.0     15   750000.0  799999.0        1  1136202        2.885090          2.881806   3.308898
236  1100.0     16   800000.0  849999.0        1  1112850        2.491025          2.493902   2.924357
237  1100.0     17   850000.0  899999.0        1  1128502        2.318187          2.310879   3.012900
238  1100.0     18   900000.0  949999.0        1  1112028        2.766178          2.757789   3.065764
239  1100.0     19   950000.0  999999.0        0  1057973        3.107459          3.100419   3.109724
240  1200.0      0        0.0   49999.0        3  1120448        2.299194          2.290842   2.947270
241  1200.0      1    50000.0   99999.0        1  1114003        2.368062          2.361313   2.761681
242  1200.0      2   100000.0  149999.0        1  1072907        2.585530          2.575506   2.810848
243  1200.0      3   150000.0  199999.0        0  1092642        3.078745          3.073927   3.011669
244  1200.0      4   200000.0  249999.0        1  1126873        3.476374          3.472854   3.134610
245  1200.0      5   250000.0  299999.0        1  1142987        3.237878          3.241489   3.138097
246  1200.0      6   300000.0  349999.0        1  1113675        2.773705          2.776824   3.251025
247  1200.0      7   350000.0  399999.0        1  1092479        2.509446          2.508833   2.887993
248  1200.0      8   400000.0  449999.0        1  1126673        3.339898          3.337658   3.361555
249  1200.0      9   450000.0  499999.0        1  1132642        3.324900          3.325256   3.414336
250  1200.0     10   500000.0  549999.0        1  1134868        3.179104          3.178525   3.240267
251  1200.0     11   550000.0  599999.0        1  1119058        3.077032          3.076977   3.029388
252  1200.0     12   600000.0  649999.0        1  1098326        2.893761          2.893772   2.905658
253  1200.0     13   650000.0  699999.0        1  1134528        3.110192          3.109165   3.381872
254  1200.0     14   700000.0  749999.0        1  1131376        2.665303          2.659571   3.094693
255  1200.0     15   750000.0  799999.0        1  1136202        2.768820          2.765389   3.245122
256  1200.0     16   800000.0  849999.0        1  1112850        2.502116          2.506092   2.928644
257  1200.0     17   850000.0  899999.0        1  1128502        2.469188          2.463440   3.093439
258  1200.0     18   900000.0  949999.0        1  1112028        2.984460          2.977562   3.174687
259  1200.0     19   950000.0  999999.0        0  1057973        3.144040          3.137132   3.126201
260  1300.0      0        0.0   49999.0        3  1120448        2.312465          2.306185   2.955709
261  1300.0      1    50000.0   99999.0        1  1114003        2.491313          2.488097   2.825115
262  1300.0      2   100000.0  149999.0        1  1072907        2.792528          2.784302   2.911672
263  1300.0      3   150000.0  199999.0        0  1092642        3.066470          3.061063   3.041292
264  1300.0      4   200000.0  249999.0        1  1126873        3.558612          3.559567   3.173594
265  1300.0      5   250000.0  299999.0        1  1142987        3.188657          3.190480   3.114150
266  1300.0      6   300000.0  349999.0        1  1113675        2.636587          2.638942   3.176804
267  1300.0      7   350000.0  399999.0        1  1092479        2.721558          2.721853   2.994710
268  1300.0      8   400000.0  449999.0        1  1126673        3.390954          3.389351   3.432288
269  1300.0      9   450000.0  499999.0        1  1132642        3.062395          3.065097   3.355267
270  1300.0     10   500000.0  549999.0        1  1134868        3.098126          3.097743   3.198791
271  1300.0     11   550000.0  599999.0        1  1119058        2.934625          2.934199   2.890145
272  1300.0     12   600000.0  649999.0        1  1098326        2.927638          2.928642   2.920459
273  1300.0     13   650000.0  699999.0        1  1134528        2.914535          2.912551   3.378215
274  1300.0     14   700000.0  749999.0        1  1131376        2.630856          2.630254   3.136875
275  1300.0     15   750000.0  799999.0        1  1136202        2.955532          2.951303   3.347487
276  1300.0     16   800000.0  849999.0        1  1112850        2.598803          2.602077   3.016456
277  1300.0     17   850000.0  899999.0        1  1128502        2.165540          2.159683   2.984857
278  1300.0     18   900000.0  949999.0        1  1112028        2.387641          2.384928   3.032935
279  1300.0     19   950000.0  999999.0        0  1057973        2.755881          2.749653   3.081256
280  1400.0      0        0.0   49999.0        3  1120448        2.785133          2.780345   3.207295
281  1400.0      1    50000.0   99999.0        1  1114003        3.001592          3.001351   3.076356
282  1400.0      2   100000.0  149999.0        1  1072907        3.097976          3.091161   3.058869
283  1400.0      3   150000.0  199999.0        0  1092642        3.510702          3.507213   3.255388
284  1400.0      4   200000.0  249999.0        1  1126873        3.634332          3.635400   3.209345
285  1400.0      5   250000.0  299999.0        1  1142987        3.023699          3.026515   3.034677
286  1400.0      6   300000.0  349999.0        1  1113675        2.464186          2.467028   3.084746
287  1400.0      7   350000.0  399999.0        1  1092479        2.849369          2.850426   3.060598
288  1400.0      8   400000.0  449999.0        1  1126673        3.488293          3.486439   3.455793
289  1400.0      9   450000.0  499999.0        1  1132642        3.342403          3.343522   3.466589
290  1400.0     10   500000.0  549999.0        1  1134868        3.283711          3.281623   3.201996
291  1400.0     11   550000.0  599999.0        1  1119058        3.113118          3.113855   3.048937
292  1400.0     12   600000.0  649999.0        1  1098326        3.050539          3.050609   3.026274
293  1400.0     13   650000.0  699999.0        1  1134528        2.698407          2.693813   3.440731
294  1400.0     14   700000.0  749999.0        1  1131376        2.590046          2.589819   3.259197
295  1400.0     15   750000.0  799999.0        1  1136202        2.868425          2.863885   3.382933
296  1400.0     16   800000.0  849999.0        1  1112850        2.607517          2.610059   3.020703
297  1400.0     17   850000.0  899999.0        1  1128502        2.400395          2.394681   3.113661
298  1400.0     18   900000.0  949999.0        1  1112028        2.587741          2.582654   3.161957
299  1400.0     19   950000.0  999999.0        0  1057973        2.959418          2.952673   3.195302
